Topic,Count,Name,Representation,Representative_Docs,tweets_count
9,285,9_Debate sobre direitos e polêmica envolvendo ex-presidiário,['Debate sobre direitos e polêmica envolvendo ex-presidiário'],"['absurdo vera magalhaes atacada presidente republica debate segue normal lamenta', 'absurdo vera magalhaes atacada presidente republica debate segue normal lamenta', 'absurdo vera magalhaes atacada presidente republica debate segue normal lamenta']",285.0
10,272,10_Criticism of Brazilian Journalism,['Criticism of Brazilian Journalism'],"['voce acha vera magalhaes vergonha jornalismo nacional', 'voce acha vera magalhaes vergonha jornalismo nacional', 'voce acha vera magalhaes vergonha jornalismo nacional']",272.0
11,266,11_Political discourse in Brazil,['Political discourse in Brazil'],"['direita discute inutilmente vera magalhaes pdt estao mandando enxurrada acoes tse', 'direita discute inutilmente vera magalhaes pdt estao mandando enxurrada acoes tse', 'direita discute inutilmente vera magalhaes pdt estao mandando enxurrada acoes tse']",266.0
12,234,12_Political sentiments and opinions,['Political sentiments and opinions'],"['gente achei forte video lula voltou candidatura importante vermos acoes', 'gente achei forte video lula voltou candidatura importante vermos acoes', 'gente achei forte video lula voltou candidatura importante vermos acoes']",234.0
13,210,13_Political protest events in Brazil,['Political protest events in Brazil'],"['eleitor lula jogou objeto bolsonaro presidente pilotando durante motociata voce nao v', 'eleitor lula jogou objeto bolsonaro presidente pilotando durante motociata voce nao v', 'eleitor lula jogou objeto bolsonaro presidente pilotando durante motociata voce nao v']",210.0
14,195,14_Feminist cultural commentary,['Feminist cultural commentary'],"['cade feminazes vera magalhaes monica bergamo anitta atrizes globais parabenizar guerreira', 'cade feminazes vera magalhaes monica bergamo anitta atrizes globais parabenizar guerreira', 'cade feminazes vera magalhaes monica bergamo anitta atrizes globais parabenizar guerreira']",195.0
15,192,15_Issues faced by journalists in Brazil,['Issues faced by journalists in Brazil'],"['solidariedade jornalistas sao mal vistos causa maus profissionais vera magalhaes', 'solidariedade jornalistas sao mal vistos causa maus profissionais vera magalhaes', 'solidariedade jornalistas sao mal vistos causa maus profissionais vera magalhaes']",192.0
16,189,16_Solidarity and remembrance in journalism,['Solidarity and remembrance in journalism'],"['milly lacombe prestar solidariedade vera magalhaes envolve visitar passado recente t xerjp wspx via', 'simple milly lacombe prestar solidariedade vera magalhaes envolve visitar passado recente t swdr to via', 'milly lacombe prestar solidariedade vera magalhaes envolve visitar passado recente t rlzkd rcli via adiro reflexao solidariedade vera reflita nao sao so vulneraveis d ilza itapeva sofrem bolsonarismo']",189.0
17,185,17_Political commentary on Brazilian politics,['Political commentary on Brazilian politics'],"['vera magalhaes comenta ataque deputado bolsonarista absurdo inadmissivel democracia t dunrfhszgs', 'vera magalhaes comenta ataque deputado bolsonarista absurdo inadmissivel democracia t dunrfhszgs', 'vera magalhaes comenta ataque deputado bolsonarista absurdo inadmissivel democracia t dunrfhszgs']",185.0
18,182,18_Political commentary in Brazil,['Political commentary in Brazil'],"['facil defender vera magalhaes dificil arrumar emprego proximo governador sp trocar apres', 'facil defender vera magalhaes dificil arrumar emprego proximo governador sp trocar apres', 'facil defender vera magalhaes dificil arrumar emprego proximo governador sp trocar apres']",182.0
19,180,19_Border politics and diplomacy in South America,['Border politics and diplomacy in South America'],"['vera magalhaes acha chile fronteira brasil humberto costa acha brasil fronteira mex', 'vera magalhaes acha chile fronteira brasil humberto costa acha brasil fronteira mex', 'vera magalhaes acha chile fronteira brasil humberto costa acha brasil fronteira mex']",180.0
20,173,20_Political controversies in Brazil,['Political controversies in Brazil'],"['vereador lulista psb preso investigado mandar matar marcello leite apoiador bolsonaro ve', 'vereador lulista psb preso investigado mandar matar marcello leite apoiador bolsonaro ve', 'vereador lulista psb preso investigado mandar matar marcello leite apoiador bolsonaro ve']",173.0
21,151,21_Incoherent and repetitive text,['Incoherent and repetitive text'],"['boa noite vera magalhaes passado dizendo mentirosa voce t ydxbekna', 'boa noite vera magalhaes passado dizendo mentirosa voce t ydxbekna', 'boa noite vera magalhaes passado dizendo mentirosa voce t ydxbekna']",151.0
22,131,22_Apoio de Simone Tebet a Lula,['Apoio de Simone Tebet a Lula'],"['simone tebet alem anunciar apoio lula propostas incorporadas programa governo d', 'simone tebet alem anunciar apoio lula propostas incorporadas programa governo d', 'simone tebet alem anunciar apoio lula propostas incorporadas programa governo d']",131.0
23,123,23_Debate organization issues,['Debate organization issues'],"['organizadores debate devem desagravo vera magalhaes nao corporativismo decenc', 'organizadores debate devem desagravo vera magalhaes nao corporativismo decenc', 'organizadores debate devem desagravo vera magalhaes nao corporativismo decenc']",123.0
24,117,24_Political commentary and criticism,['Political commentary and criticism'],"['finalmente vi bolsonaro humilha vera magalhaes apoiou tanto deve sentindo mal', 'finalmente vi bolsonaro humilha vera magalhaes apoiou tanto deve sentindo mal', 'finalmente vi bolsonaro humilha vera magalhaes apoiou tanto deve sentindo mal']",117.0
25,104,25_Neutrality breaches in journalism,['Neutrality breaches in journalism'],"['vera magalhaes quebrou neutralidade debate incluir ataque presidente meio pergunta queda', 'vera magalhaes quebrou neutralidade debate incluir ataque presidente meio pergunta queda', 'vera magalhaes quebrou neutralidade debate incluir ataque presidente meio pergunta queda']",104.0
26,102,26_Political solidarity in Brazil,['Political solidarity in Brazil'],"['lula solidarizou jornalistas atacadas bolsonaro agradeceram redes sociais menos', 'lula solidarizou jornalistas atacadas bolsonaro agradeceram redes sociais menos', 'lula solidarizou jornalistas atacadas bolsonaro agradeceram redes sociais menos']",102.0
27,101,27_Gratitude towards journalists,['Gratitude towards journalists'],"['agradecimento jornalistas globo folha estadao uol cnn especial vera magalhaes monica bergamo', 'agradecimento jornalistas globo folha estadao uol cnn especial vera magalhaes monica bergamo', 'agradecimento jornalistas globo folha estadao uol cnn especial vera magalhaes monica bergamo']",101.0
28,101,28_Political violence during a political campaign,['Political violence during a political campaign'],"['tipu caravana lula regiao sul vinha sofrendo diversos ataques pedradas bombas chicotadas d', 'tipu caravana lula regiao sul vinha sofrendo diversos ataques pedradas bombas chicotadas d', 'tipu caravana lula regiao sul vinha sofrendo diversos ataques pedradas bombas chicotadas d']",101.0
29,95,29_Violence against women in Brazil,['Violence against women in Brazil'],"['agressao contra vera magalhaes comprova mais brasileiras ja sentem pele gove', 'agressao contra vera magalhaes comprova mais brasileiras ja sentem pele gove', 'agressao contra vera magalhaes comprova mais brasileiras ja sentem pele gove']",95.0
30,90,30_Online defamation and personal attacks,['Online defamation and personal attacks'],"['vera magalhaes espalhando ai agredi mentira vou processar divulgar c', 'vera magalhaes espalhando ai agredi mentira vou processar divulgar c', 'vera magalhaes espalhando ai agredi mentira vou processar divulgar c']",90.0
31,89,31_Not specified (potentially sensitive content),['Not specified (potentially sensitive content)'],"['cenas fortes imagens exclusivas vera magalhaes agredida t w voflpoxb', 'cenas fortes imagens exclusivas vera magalhaes agredida t w voflpoxb', 'cenas fortes imagens exclusivas vera magalhaes agredida t w voflpoxb']",89.0
32,86,32_Criticism of Brazilian journalist Vera Magalhães,['Criticism of Brazilian journalist Vera Magalhães'],"['vera magalhaes chamada pessimo jornalista debate pessimo jornalismo propaga fake news', 'vera magalhaes chamada pessimo jornalista debate pessimo jornalismo propaga fake news', 'vera magalhaes chamada pessimo jornalista debate pessimo jornalismo propaga fake news']",86.0
33,80,33_Criticism of journalist Vera Magalhães,['Criticism of journalist Vera Magalhães'],"['senhora print eterno relembra milagrosamente mais video passado jornalista vera magalhaes criticou m', 'senhora print eterno relembra milagrosamente mais video passado jornalista vera magalhaes criticou m', 'senhora print eterno relembra milagrosamente mais video passado jornalista vera magalhaes criticou m']",80.0
34,76,34_Brazilian political discourse,['Brazilian political discourse'],"['boa cara presidente brasil ovacionado onda anda cara fala verdade esfregou cara', 'boa cara presidente brasil ovacionado onda anda cara fala verdade esfregou cara', 'boa cara presidente brasil ovacionado onda anda cara fala verdade esfregou cara']",76.0
35,74,35_Political controversies involving Vera Magalhães Doria,['Political controversies involving Vera Magalhães Doria'],"['lula esqueceu vera magalhaes ta gabando alckmin virou vice surtou desesperado', 'lula esqueceu vera magalhaes ta gabando alckmin virou vice surtou desesperado', 'lula esqueceu vera magalhaes ta gabando alckmin virou vice surtou desesperado']",74.0
36,72,36_Teaching ethics and pedagogical approaches,['Teaching ethics and pedagogical approaches'],"['bom professor etica fecha chave ouro explica didaticamente problemas mentiras douglas assedi', 'bom professor etica fecha chave ouro explica didaticamente problemas mentiras douglas assedi', 'bom professor etica fecha chave ouro explica didaticamente problemas mentiras douglas assedi']",72.0
37,65,37_Critique of Vera Magalhaes' work,"[""Critique of Vera Magalhaes' work""]","['vera magalhaes conseguiu nenhum capaz desnudou horror promover espetaculo degradant', 'vera magalhaes conseguiu nenhum capaz desnudou horror promover espetaculo degradant', 'vera magalhaes conseguiu nenhum capaz desnudou horror promover espetaculo degradant']",65.0
38,65,38_Campaign finance in Brazil,['Campaign finance in Brazil'],"['pagou ato paralelo brasilia bancando rio registrado doacao campanha bo', 'pagou ato paralelo brasilia bancando rio registrado doacao campanha bo', 'pagou ato paralelo brasilia bancando rio registrado doacao campanha bo']",65.0
39,64,39_Análise de crítiques dirigidas a Vera Magalhães,['Análise de crítiques dirigidas a Vera Magalhães'],"['perceberam propria vera magalhaes nao nenhum tuite suposto ataque sofreu critica', 'perceberam propria vera magalhaes nao nenhum tuite suposto ataque sofreu critica', 'perceberam propria vera magalhaes nao nenhum tuite suposto ataque sofreu critica']",64.0
40,62,40_Non-meaningful text examples,['Non-meaningful text examples'],"['queria escrito ma ja escrito milly lacombe parabens t qhrqpgrgrd', 'queria escrito ma ja escrito milly lacombe parabens t qhrqpgrgrd', 'queria escrito ma ja escrito milly lacombe parabens t qhrqpgrgrd']",62.0
41,58,41_Legal actions against defamation,['Legal actions against defamation'],"['ganhamos liminar h retirar fake news contra mim pena multa diaria acao segue ped', 'ganhamos liminar h retirar fake news contra mim pena multa diaria acao segue ped', 'ganhamos liminar h retirar fake news contra mim pena multa diaria acao segue ped']",58.0
42,54,42_Repeated phrases,['Repeated phrases'],"['lapada vera magalhaes merecida nao', 'lapada vera magalhaes merecida nao', 'lapada vera magalhaes merecida nao']",54.0
43,49,43_Reflexion sobre la solidaridad,['Reflexion sobre la solidaridad'],"['genial artigo necessaria solidariedade mesma solidariedade negada p', 'genial artigo necessaria solidariedade mesma solidariedade negada p', 'genial artigo necessaria solidariedade mesma solidariedade negada p']",49.0
44,47,44_Debate coverage in the media,['Debate coverage in the media'],"['informacao quente manchete bastidores campanha day after debate gt gt apos debat', 'informacao quente manchete bastidores campanha day after debate gt gt apos debat', 'informacao quente manchete bastidores campanha day after debate gt gt apos debat']",47.0
45,44,45_Media and misinformation,['Media and misinformation'],"['mentira contada imprensa falar q vera magalhaes atacada q senhorzinho agiu legitima defesa d', 'mentira contada imprensa falar q vera magalhaes atacada q senhorzinho agiu legitima defesa d', 'mentira contada imprensa falar q vera magalhaes atacada q senhorzinho agiu legitima defesa d']",44.0
46,44,46_Reactions to tax payer issues in São Paulo,['Reactions to tax payer issues in São Paulo'],"['ta certo tambem achei desnecessario pagadora impostos sao paulo', 'ta certo tambem achei desnecessario pagadora impostos sao paulo', 'ta certo tambem achei desnecessario pagadora impostos sao paulo']",44.0
47,42,47_Jornalismo e política,['Jornalismo e política'],"['band permite jornalista vera magalhaes pergunta acusando presidente difundir d', 'band permite jornalista vera magalhaes pergunta acusando presidente difundir d', 'band permite jornalista vera magalhaes pergunta acusando presidente difundir d']",42.0
48,42,48_Criticism of the media and political discourse across Brazilian culture,['Criticism of the media and political discourse across Brazilian culture'],"['vemos cinismo imprensa capitalista golpista transformaram mera critica verdadeiro atentado terror', 'vemos cinismo imprensa capitalista golpista transformaram mera critica verdadeiro atentado terror', 'vemos cinismo imprensa capitalista golpista transformaram mera critica verdadeiro atentado terror']",42.0
49,41,49_Violent attack on Vera Magalhães,['Violent attack on Vera Magalhães'],"['vera magalhaes violentamente agredida atacada pergunta queima roupa agressor chegou ataca encos', 'vera magalhaes violentamente agredida atacada pergunta queima roupa agressor chegou ataca encos', 'vera magalhaes violentamente agredida atacada pergunta queima roupa agressor chegou ataca encos']",41.0
50,40,50_Political attacks and disagreements in Brazil,['Political attacks and disagreements in Brazil'],"['vera magalhaes sempre atacou desonesta lula dilma nunca agredida menos desrespeitada nenhum', 'vera magalhaes sempre atacou desonesta lula dilma nunca agredida menos desrespeitada nenhum', 'vera magalhaes sempre atacou desonesta lula dilma nunca agredida menos desrespeitada nenhum']",40.0
51,40,51_Brazilian political discourse,['Brazilian political discourse'],"['lula joga parado nao perder ganhou deixando demais candidatos batam bolsonaro erre escand', 'lula joga parado nao perder ganhou deixando demais candidatos batam bolsonaro erre escand', 'lula joga parado nao perder ganhou deixando demais candidatos batam bolsonaro erre escand']",40.0
52,39,52_Political actions against misconduct,['Political actions against misconduct'],"['assembleia legislativa precisa cassar mandato deputado douglas garcia agrediu debate', 'assembleia legislativa precisa cassar mandato deputado douglas garcia agrediu debate', 'assembleia legislativa precisa cassar mandato deputado douglas garcia agrediu debate']",39.0
53,38,53_jornalismo brasileiro,['jornalismo brasileiro'],"['jornalista escrevendo comentando tv tom moderado adotado bolsonaro gente abusa', 'jornalista escrevendo comentando tv tom moderado adotado bolsonaro gente abusa', 'jornalista escrevendo comentando tv tom moderado adotado bolsonaro gente abusa']",38.0
54,38,54_Solidarity and social values,['Solidarity and social values'],"['estao prestando solidariedade vera magalhaes estao ma fe estao subvertendo valores mulher', 'estao prestando solidariedade vera magalhaes estao ma fe estao subvertendo valores mulher', 'estao prestando solidariedade vera magalhaes estao ma fe estao subvertendo valores mulher']",38.0
55,36,55_Gaming news and reviews,['Gaming news and reviews'],"['honey wake up vera magalhaes splatoon review just dropped t m rge qp s', 'honey wake up vera magalhaes splatoon review just dropped t m rge qp s', 'honey wake up vera magalhaes splatoon review just dropped t m rge qp s']",36.0
56,34,56_Political corruption in Brazil,['Political corruption in Brazil'],"['eleitor bolsonarista horroriza roubalheira vista grossa banco imobiliario dinheiro vivo', 'eleitor bolsonarista horroriza roubalheira vista grossa banco imobiliario dinheiro vivo', 'eleitor bolsonarista horroriza roubalheira vista grossa banco imobiliario dinheiro vivo']",34.0
57,34,57_Unknown - Potential question or inquiry about financial assistance or housing support.,['Unknown - Potential question or inquiry about financial assistance or housing support.'],"['vera magalhaes perguntar perguntado fazia dinheiro auxilio moradia sr', 'vera magalhaes perguntar perguntado fazia dinheiro auxilio moradia sr', 'vera magalhaes perguntar perguntado fazia dinheiro auxilio moradia sr']",34.0
58,32,58_Political implications of media reporting,['Political implications of media reporting'],"['vera magalhaes publicou reportagem implicava diretamente presidente convocacao atos contra', 'vera magalhaes publicou reportagem implicava diretamente presidente convocacao atos contra', 'vera magalhaes publicou reportagem implicava diretamente presidente convocacao atos contra']",32.0
